Date time,Temperature,Wind Speed,Visibility,Cloud Cover,Relative Humidity,Conditions
1/8/2020 20:00,28,7,10,27,69.92,Partially cloudy
1/8/2020 21:00,28,8.8,10,27,76.15,Partially cloudy
1/8/2020 22:00,27.5,10.4,10.9,39.4,76.46,Partially cloudy
1/8/2020 23:00,26.6,3.9,10,50,85.7,Partially cloudy
1/9/2020 0:00,26,3.6,10,50,88.76,Partially cloudy
1/9/2020 1:00,25.4,4.7,10.9,48.1,88.36,Partially cloudy
1/9/2020 2:00,25,4.3,10,50,88.68,Partially cloudy
1/9/2020 3:00,24,6.7,10,50,94.15,Partially cloudy
1/9/2020 4:00,24,4.3,10.9,48.1,93.41,Partially cloudy
1/9/2020 5:00,24.4,3.6,10,29.7,91.88,Partially cloudy
1/9/2020 6:00,23.6,3.9,10,27,94.13,Partially cloudy
1/9/2020 7:00,25.3,5.4,7.3,27.3,91.68,Partially cloudy
1/9/2020 8:00,26.4,2.9,6,27,89.79,Partially cloudy
1/9/2020 9:00,28.8,2.9,8,27,73.46,Partially cloudy
1/9/2020 10:00,30.6,3.9,9.1,2,55.65,Clear
1/9/2020 11:00,33,2.5,8,0,45.29,Clear
1/9/2020 12:00,34.1,7.6,8,0,43.93,Clear
1/9/2020 13:00,34.8,11.8,9.9,25.4,33.09,Partially cloudy
1/9/2020 14:00,34.6,4.3,10,27,33.9,Partially cloudy
1/9/2020 15:00,32.6,17.8,8.8,50,48.16,Partially cloudy
1/9/2020 16:00,31,18.8,10.9,46.2,54.23,Partially cloudy
1/9/2020 17:00,30,15.8,10,35.2,55.08,Partially cloudy
1/9/2020 18:00,29,11.2,10,35.2,58.34,Partially cloudy
1/9/2020 19:00,28.9,11.8,10.9,28.2,58.93,Partially cloudy
1/9/2020 20:00,28.4,16.2,10,27,55.33,Partially cloudy
1/9/2020 21:00,28,15.8,10,27,54.58,Partially cloudy
1/9/2020 22:00,27.4,12.2,10.9,27.3,57.22,Partially cloudy
1/9/2020 23:00,27,11.6,10,27,61.61,Partially cloudy
1/10/2020 0:00,27,10.4,10,27,63.19,Partially cloudy
1/10/2020 1:00,26,5.6,10.9,40.3,74.39,Partially cloudy
1/10/2020 2:00,25,0.7,10,35.2,83.45,Partially cloudy
1/10/2020 3:00,23.6,1.5,10,35.2,90.79,Partially cloudy
1/10/2020 4:00,24.4,2.5,10.9,31.9,86.27,Partially cloudy
1/10/2020 5:00,24.4,7.6,10,35.2,89.65,Partially cloudy
1/10/2020 6:00,24,6.7,10,35.2,90.82,Partially cloudy
1/10/2020 7:00,25.3,10.8,9.1,27.3,86.26,Partially cloudy
1/10/2020 8:00,26.4,11.2,8,0,81.58,Clear
1/10/2020 9:00,28.4,15.8,8.8,0,66.61,Clear
1/10/2020 10:00,30.3,12.4,10.9,2,56.41,Clear
1/10/2020 11:00,32.4,10.1,10,0,46.83,Clear
1/10/2020 12:00,33.4,9.7,10,35.2,44.26,Partially cloudy
1/10/2020 13:00,33.8,9.8,10.9,50.9,42.27,Partially cloudy
1/10/2020 14:00,34,9.4,10,50,41.27,Partially cloudy
1/10/2020 15:00,34,5.4,10,50,41.27,Partially cloudy
1/10/2020 16:00,33.5,3.3,10.9,48.1,43.18,Partially cloudy
1/10/2020 17:00,32.2,8.9,10,41.9,46.86,Partially cloudy
1/10/2020 18:00,30,14,10,35.2,50.46,Partially cloudy
1/10/2020 19:00,29.5,12.4,10.9,37.5,53.45,Partially cloudy
1/10/2020 20:00,29,13.7,10,14.8,51.5,Clear
1/10/2020 21:00,28.6,13.3,10,0,56.14,Clear
1/10/2020 22:00,27.5,11.8,10.9,10.1,65.73,Clear
1/10/2020 23:00,27,12.2,10,30,71.49,Partially cloudy
1/11/2020 0:00,26.6,9.4,10,27,80.69,Partially cloudy
1/11/2020 1:00,25.9,9.4,10.2,39.4,83.7,Partially cloudy
1/11/2020 2:00,26,7,8,35.2,83.56,Partially cloudy
1/11/2020 3:00,25,6.7,8,35.2,88.68,Partially cloudy
1/11/2020 4:00,25.5,2.9,9.1,37.5,85.74,Partially cloudy
1/11/2020 5:00,25,3.9,8,35.2,88.68,Partially cloudy
1/11/2020 6:00,24,6,7.6,35.2,100,Partially cloudy
1/11/2020 7:00,25.3,4.7,8.2,40.3,91.94,Partially cloudy
1/11/2020 8:00,26.4,3.6,7.4,50,86.65,Partially cloudy
1/11/2020 9:00,28,2.1,5.4,50,78.92,Partially cloudy
1/11/2020 10:00,29.3,1.8,7.3,52.8,72.8,Partially cloudy
1/11/2020 11:00,30,5.2,4.6,50,66.18,Partially cloudy
1/11/2020 12:00,31,8.6,5.8,50,59.49,Partially cloudy
1/11/2020 13:00,31.9,11.9,9.5,68.5,51.74,Partially cloudy
1/11/2020 14:00,31.4,10.1,9.4,50,52.11,Partially cloudy
1/11/2020 15:00,32,11.2,10,50,50.39,Partially cloudy
1/11/2020 16:00,31,9.8,9.1,48.1,55.71,Partially cloudy
1/11/2020 17:00,30,11.5,8,50,62.28,Partially cloudy
1/11/2020 18:00,28.6,10.4,8,27,65.14,Partially cloudy
1/11/2020 19:00,27.9,8.5,10.9,28.2,70.71,Partially cloudy
